User Id,Loyalty_Point,Games Played,Rank,bonus in rupees
28,4463.02,15.0,29,8959.67
2,4325.55,34.0,3,8683.7
30,3350.82,4.0,31,6726.89
16,2449.57,815.0,17,4917.6
9,1600.07,1325.0,10,3212.2
39,1442.5,1627.0,40,2895.87
27,1411.91,730.0,28,2834.46
47,920.06,148.0,48,1847.05
46,493.0,15.0,47,989.72
31,490.66,399.0,32,985.02
11,376.9,297.0,12,756.64
12,350.75,76.0,13,704.14
5,337.12,163.0,6,676.78
45,305.22,76.0,46,612.74
23,287.5,81.0,24,577.17
24,263.21,91.0,25,528.4
42,227.4,162.0,43,456.51
10,181.07,265.0,11,363.5
25,167.5,0.0,26,336.26
36,161.0,30.0,37,323.21
44,139.24,4.0,45,279.53
33,130.2,1.0,34,261.38
17,123.81,94.0,18,248.55
32,121.76,14.0,33,244.44
3,105.4,27.0,4,211.59
6,94.8,24.0,7,190.31
43,85.4,427.0,44,171.44
18,54.6,3.0,19,109.61
15,53.0,15.0,16,106.4
20,50.2,1.0,21,100.78
13,50.0,0.0,14,100.38
14,46.81,9.0,15,93.97
29,41.0,5.0,30,82.31
8,37.0,185.0,9,74.28
19,34.4,22.0,20,69.06
41,30.6,3.0,42,61.43
49,30.2,1.0,50,60.63
26,28.0,0.0,27,56.21
4,17.5,0.0,5,35.13
22,10.4,2.0,23,20.88
21,6.4,32.0,22,12.85
7,4.8,24.0,8,9.64
37,1.8,9.0,38,3.61
0,1.4,7.0,1,2.81
48,0.8,4.0,49,1.61
34,0.6,3.0,35,1.2
1,0.4,2.0,2,0.8
40,0.4,2.0,41,0.8
38,0.2,1.0,39,0.4
35,0.2,1.0,36,0.4
